,PRODUK,Category_clean
126,Prun,Fruits_and_fruit_products
127,Jeruk_buah_sentul,Fruits_and_fruit_products
128,Jem_betik,Sugars_and_syrups
129,Jus_nenas_dalam_tin,Fruits_and_fruit_products
130,Buah_plum,Fruits_and_fruit_products
131,Nenas,Fruits_and_fruit_products
132,Jem_bacang,Sugars_and_syrups
133,Madu,Sugars_and_syrups
134,Tembikai,Fruits_and_fruit_products
135,Jeli_strawberi,Sugars_and_syrups
136,Durian_Belanda,Fruits_and_fruit_products
137,Buah_Asam_Jawa,Fruits_and_fruit_products
138,Jeli__honey_dew_,Sugars_and_syrups
139,Jeli_berperisa_strawberi,Sugars_and_syrups
140,Gula_batu,Sugars_and_syrups
141,Jem_buah_rokam,Sugars_and_syrups
142,Gula_Melaka,Sugars_and_syrups
143,_Burger__daging_lembu,Meat_and_meat_products
144,Marmalade,Sugars_and_syrups
145,_Frankfurter__daging_lembu,Meat_and_meat_products
146,_Frankfurter__daging_ayam,Meat_and_meat_products
147,Daging_lembu_diasinkan_dalam_tin,Meat_and_meat_products
148,_Burger__daging_ayam,Meat_and_meat_products
149,Sirap_ros,Sugars_and_syrups
150,Buah_pinggang_lembu,Meat_and_meat_products
151,Jantung_ayam,Meat_and_meat_products
152,Itik_panggang,Meat_and_meat_products
153,Jantung_lembu,Meat_and_meat_products
154,Ayam_dibersihkan,Meat_and_meat_products
155,Daging_ayam_sayap,Meat_and_meat_products
156,Hempedal_ayam,Meat_and_meat_products
157,Arnab,Meat_and_meat_products
158,Telur_itik_sebiji,Eggs
159,Telur_asin_sebiji,Eggs
160,Paru_paru_lembu,Meat_and_meat_products
161,Kari_daging_kambing_dalam_tin,Meat_and_meat_products
162,Telur_penyu_kuning_telur,Eggs
163,Hati_ayam,Meat_and_meat_products
164,Telur_penyu_putih_telur,Eggs
165,Ikan_bilis_kering_tanpa_kepala_dan_usus,Fish_shellfish_and_products
166,Telur_ayam_kuning_telur,Eggs
167,Tilapia,Fish_shellfish_and_products
168,Telur_ayam_putih_telur,Eggs
169,Yi_piu_digoreng,Fish_shellfish_and_products
170,Lee_koh,Fish_shellfish_and_products
171,Semilang,Fish_shellfish_and_products
172,Lampam_Jawa,Fish_shellfish_and_products
173,Tilapia_merah,Fish_shellfish_and_products
174,Bebola_ikan,Fish_shellfish_and_products
175,Tebal_sisik,Fish_shellfish_and_products
176,Patin,Fish_shellfish_and_products
177,Kerang,Fish_shellfish_and_products
178,Sotong,Fish_shellfish_and_products
179,Belida,Fish_shellfish_and_products
180,Keropok_sotong,Fish_shellfish_and_products
181,Tamban_bulat,Fish_shellfish_and_products
182,Lala,Fish_shellfish_and_products
183,Gerut_gerut,Fish_shellfish_and_products
184,Jelawat,Fish_shellfish_and_products
185,Budu,Fish_shellfish_and_products
186,Sepat_siam,Fish_shellfish_and_products
187,Keropok_ikan_digoreng,Fish_shellfish_and_products
188,Ketutu,Fish_shellfish_and_products
189,Kari_ikan_dalam_tin,Fish_shellfish_and_products
190,Tenggiri_batang,Fish_shellfish_and_products
191,Udang_galah,Fish_shellfish_and_products
192,Tenggiri,Fish_shellfish_and_products
193,Bawal_putih,Fish_shellfish_and_products
